source_id,target_id,distance
1,36,487.389584
1,37,558.567991
1,38,623.967993
1,39,691.209932
1,40,308.617793
1,41,300.287745
1,42,330.102702
1,43,339.757791
1,44,381.191022
1,45,444.568561
1,46,513.463226
1,47,575.947570
1,48,669.889106
1,49,699.812076
1,50,361.228747
1,51,399.533246
1,52,375.096273
1,53,409.516839
1,54,450.241995
1,55,503.312593
1,56,550.554883
1,57,627.422111
1,58,670.620554
1,59,761.386786
1,60,459.632338
1,61,438.190891
1,62,466.438029
1,63,484.471490
1,64,534.871698
1,65,596.494572
1,66,612.105838
1,67,694.817940
1,68,719.391486
1,69,803.420311
1,70,503.472944
1,71,527.177395
1,72,535.244275
1,73,555.343383
1,74,614.770093
1,75,655.284678
1,76,662.560147
1,77,737.967487
1,78,794.884334
1,79,841.600407
1,80,612.682199
1,81,615.776021
1,82,591.680660
1,83,642.115576
1,84,658.433351
1,85,694.285535
1,86,751.301118
1,87,798.594574
1,88,856.540555
1,89,905.083763
1,90,657.373143
1,91,669.710588
1,92,681.866786
1,93,704.464673
1,94,756.948305
1,95,776.428995
1,96,813.981133
1,97,852.969986
1,98,908.586627
1,99,960.602314
2,3,79.296627
2,4,132.405593
2,5,214.357317
2,6,286.809243
2,7,375.879624
2,8,465.125416
2,9,505.811967
2,10,176.450863
2,11,128.735010
2,12,113.212906
2,13,107.307454
2,14,165.604828
2,15,261.563872
2,16,303.722956
2,17,382.443266
2,18,436.848113
2,19,534.500387
2,20,227.619445
2,21,183.071241
2,22,179.687598
2,23,171.988002
2,24,232.672096
2,25,303.131072
2,26,365.921858
2,27,429.942290
2,28,498.180450
2,29,559.269626
2,30,275.207001
2,31,271.057767
2,32,250.967119
2,33,269.424525
2,34,310.235610
2,35,339.623803
2,36,417.381407
2,37,479.384960
2,38,542.941149
2,39,603.692367
2,40,354.983367
2,41,329.192581
2,42,333.873705
2,43,325.157923
2,44,341.222964
2,45,393.375923
2,46,457.068127
2,47,509.606553
2,48,596.289812
2,49,618.847420
2,50,403.526912
2,51,418.747260
2,52,376.732147
2,53,399.543564
2,54,415.841046
2,55,456.838273
2,56,496.523688
2,57,561.372362
2,58,603.732184
2,59,685.350532
2,60,499.572482
2,61,465.123727
2,62,468.958852
2,63,478.986597
2,64,513.840201
2,65,559.740771
2,66,567.590919
2,67,637.602475
2,68,657.942117
2,69,736.009431
2,70,535.697038
2,71,546.764608
2,72,540.592057
2,73,548.120449
2,74,595.126159
2,75,625.628786
2,76,621.226161
2,77,692.209744
2,78,737.634364
2,79,783.237415
2,80,648.354298
2,81,639.765723
2,82,602.066207
2,83,641.567080
2,84,643.431308
2,85,668.024536
2,86,718.117253
2,87,754.520440
2,88,809.039693
2,89,848.363688
2,90,691.764554
2,91,690.568948
2,92,689.333805
2,93,703.752857
2,94,742.070126
2,95,754.990082
2,96,780.891737
2,97,814.031117
2,98,865.688624
2,99,910.458324
3,4,60.093366
3,5,137.465957
3,6,212.041907
3,7,301.054006
3,8,388.582818
3,9,428.980585
3,10,234.169879
3,11,184.936185
3,12,110.365735
3,13,53.830663
3,14,91.542131
3,15,182.321469
3,16,224.930868
3,17,303.479084
3,18,358.135756
3,19,456.005917
3,20,274.358408
3,21,199.746856
3,22,160.955711
3,23,128.589132
3,24,165.601465
3,25,227.869761
3,26,289.266927
3,27,351.360828
3,28,419.145908
3,29,479.977510
3,30,302.653532
3,31,276.479686
3,32,228.779241
3,33,236.252846
3,34,251.073713
3,35,275.420823
3,36,344.505145
3,37,402.373503
3,38,465.192607
3,39,524.592642
3,40,366.186998
3,41,328.682692
3,42,314.043459
3,43,292.037672
3,44,288.601528
3,45,331.504253
3,46,390.860449
3,47,437.634211
3,48,520.791557
3,49,540.969142
3,50,409.213162
3,51,406.090329
3,52,352.825591
3,53,365.995294
